coefficient,median_ppl,mean_length_ratio,is_valid
0,4.713756561279297,1.0,True
-35,818.3956909179688,0.8388791165701031,False
-30,1162.52880859375,0.598606525975163,False
-25,3.4458088874816895,1.6715353583409251,False
-20,2.639617443084717,1.1078584860184642,True
-15,5.036175727844238,0.8562330348203736,True
-10,5.02788782119751,1.121932525341175,True
-5,4.8703532218933105,1.2201115894999526,True
5,5.576951026916504,1.0815568861333351,True
10,7.533083915710449,1.1321889784018768,False
15,9.34089183807373,1.3242422020754387,False
20,11.639010429382324,1.4541130345426665,False
25,18.52815055847168,1.456323539791694,False
30,20.686508178710938,1.264854063158236,False
35,50.46720886230469,0.6181313558382073,False
